target,arena,eligible_sentences,threshold_met,missing_reason,arena_label,similarity_past_mean,similarity_past_sd,similarity_future_mean,similarity_future_sd,similarity_machine_mean,similarity_machine_sd,similarity_beyond_mean,similarity_beyond_sd,temporality_future_minus_past_mean,temporality_future_minus_past_sd,ontology_beyond_minus_machine_mean,ontology_beyond_minus_machine_sd,seeds
intelligence,NYT,12402,True,,New York Times (public news),0.37668548413554503,0.003973908805765142,0.425736650930013,0.002817422747008783,0.586292484287187,0.007968778037161105,0.4894784103713807,0.003368731950311672,0.04905116679446801,0.0013990399835580765,-0.09681407391580643,0.008525592991136716,5.0
intelligence,WSJ,6537,True,,Wall Street Journal (business news),0.3693629324883262,0.0029572943706647993,0.4213473048364215,0.0035565176239355893,0.5976564965234731,0.006561513965524023,0.49455399652400817,0.002126590342413969,0.05198437234809541,0.000823791444090955,-0.10310249999946489,0.007828493381797306,5.0
intelligence,arxiv,3936,True,,arXiv (academic),0.37698366299451924,0.0024928945943757694,0.41460187345373545,0.0020989853462275066,0.5800881784168498,0.0018739601373549796,0.5136437822835123,0.002518287093442782,0.03761821045921619,0.0014947066777571852,-0.06644439613333755,0.001517433727567916,5.0
learning,NYT,2237,True,,New York Times (public news),0.3736493392499312,0.004309999842271769,0.41542626143256856,0.0029985304978083116,0.5706719645516602,0.008778214966056398,0.4891061521121468,0.004340059524189253,0.041776922182637385,0.0019963856904397495,-0.08156581243951347,0.011232551446602831,5.0
learning,WSJ,1747,True,,Wall Street Journal (business news),0.3683920997693952,0.0027451172659820095,0.41230987681511955,0.0020312804623670517,0.5779330954718753,0.0025728770182839506,0.4956266173245069,0.0029456690954270588,0.04391777704572438,0.0012414483534658963,-0.08230647814736837,0.004911636341862664,5.0
learning,arxiv,20874,True,,arXiv (academic),0.3681253217174535,0.0051329956518658204,0.39500575580903496,0.0031466154805134985,0.5325405665743914,0.004827858459684079,0.4478420654202432,0.0040263793053860394,0.026880434091581508,0.0033868798801717035,-0.08469850115414826,0.0026451393262593706,5.0
model,NYT,872,True,,New York Times (public news),0.38764649316994143,0.0014031667022254381,0.41837030070884157,0.001047705656629036,0.6028748942715865,0.004306504201572946,0.4876114440132361,0.000888373671653,0.03072380753890015,0.002038537433244874,-0.11526345025835032,0.0035792793477759603,5.0
model,WSJ,654,True,,Wall Street Journal (business news),0.3808341815256612,0.0009384383146788733,0.41839432348489236,0.001605483480229809,0.6094221006955818,0.0020352979869396374,0.4884505376518379,0.00287864524468062,0.0375601419592312,0.0010128862780397453,-0.12097156304374383,0.002620102422634045,5.0
model,arxiv,11613,True,,arXiv (academic),0.3653268038516595,0.004903847150849632,0.3893201649861576,0.003137973795987805,0.5727661775012108,0.005740499864329061,0.44418418826309375,0.004747423505146774,0.02399336113449818,0.0019093035752046261,-0.1285819892381171,0.0030314491055281096,5.0
network,NYT,671,True,,New York Times (public news),0.3824838106832714,0.0012544876350833664,0.40781607403311115,0.0009374517761261466,0.569021845788067,0.002021543874985158,0.5095045156464438,0.0024764901704533364,0.02533226334983968,0.0004419792164920544,-0.05951733014162321,0.0014326306797199223,5.0
network,WSJ,235,True,,Wall Street Journal (business news),0.38235979608791193,0.0,0.41048229501917344,0.0,0.5395310825780989,0.0,0.4881304433731227,0.0,0.028122498931261564,0.0,-0.05140063920497623,0.0,5.0
network,arxiv,9774,True,,arXiv (academic),0.36152080792120633,0.004230744784219252,0.38525470012565144,0.004370356122402096,0.5596811988491487,0.003935282674992473,0.45914094755373497,0.0051391747479219985,0.023733892204445117,0.0016983690562659792,-0.10054025129541366,0.007392861917673686,5.0
prediction,NYT,63,False,BELOW_MINIMUM,New York Times (public news),,,,,,,,,,,,,
prediction,WSJ,30,False,BELOW_MINIMUM,Wall Street Journal (business news),,,,,,,,,,,,,
prediction,arxiv,1628,True,,arXiv (academic),0.36493940635815647,0.0059931216978202015,0.4096492345021824,0.004142397647744231,0.5215405416245257,0.003559042693156314,0.458000111468742,0.004889544382737522,0.04470982814402593,0.002894386811344294,-0.06354043015578373,0.0030352138113618685,5.0
reasoning,NYT,118,True,,New York Times (public news),0.3777400744076402,0.0,0.40899585872396466,0.0,0.5063148716388376,0.0,0.5329021444589012,0.0,0.031255784316324475,0.0,0.026587272820063568,0.0,5.0
reasoning,WSJ,65,False,BELOW_MINIMUM,Wall Street Journal (business news),,,,,,,,,,,,,
reasoning,arxiv,1161,True,,arXiv (academic),0.3754058564762486,0.002906494506401691,0.4142125076578081,0.001713072067341453,0.5482213176606365,0.0036374819439870675,0.48302952529769627,0.003058808408258372,0.038806651181559515,0.0028140327404956316,-0.0651917923629403,0.006078662838703987,5.0
representation,NYT,11,False,BELOW_MINIMUM,New York Times (public news),,,,,,,,,,,,,
representation,WSJ,7,False,BELOW_MINIMUM,Wall Street Journal (business news),,,,,,,,,,,,,
representation,arxiv,1373,True,,arXiv (academic),0.3789014662307089,0.003818763282728218,0.40470246824298706,0.004537461850843038,0.5311302629351077,0.007484617559759563,0.46522526013454935,0.004917653726911955,0.02580100201227815,0.0008607054213040306,-0.06590500280055832,0.0038401869477512037,5.0
risk,NYT,334,True,,New York Times (public news),0.36369604742824424,0.0,0.43848928107386803,0.0,0.42717502658933715,0.0,0.4385210935555535,0.0,0.07479323364562379,0.0,0.011346066966216373,0.0,5.0
risk,WSJ,318,True,,Wall Street Journal (business news),0.3597602761932731,0.0,0.441684767503168,0.0,0.4123745802622222,0.0,0.4337345024175837,0.0,0.08192449130989493,0.0,0.021359922155361588,0.0,5.0
risk,arxiv,520,True,,arXiv (academic),0.3575799908206565,0.001459874315713212,0.40238938339265173,0.00129330960364574,0.4412823958197989,0.0022037044768185863,0.45104159799140786,0.002527272170781252,0.044809392571995274,0.0003984220777846473,0.009759202171609027,0.0009511205903077704,5.0
safety,NYT,452,True,,New York Times (public news),0.37944786599776764,0.0,0.4140295520015854,0.0,0.48453843962173204,0.0,0.4931736153078397,0.0,0.03458168600381778,0.0,0.00863517568610761,0.0,5.0
safety,WSJ,284,True,,Wall Street Journal (business news),0.37579963234086383,0.0,0.4119010243003226,0.0,0.49973006955846977,0.0,0.4919980401667242,0.0,0.03610139195945877,0.0,-0.0077320293917454985,0.0,5.0
safety,arxiv,424,True,,arXiv (academic),0.3638778535166038,0.0,0.3994714630587231,0.0,0.48322072191477516,0.0,0.4695937784527652,0.0,0.03559360954211932,0.0,-0.013626943462010044,0.0,5.0
system,NYT,1521,True,,New York Times (public news),0.3789167452301918,0.0017513401172827563,0.41941030322314293,0.0011198019462619272,0.6204381181289266,0.0017628993527446881,0.48343874738739084,0.0012456408068995408,0.04049355799295109,0.0007695984820393492,-0.1369993707415357,0.0014121911176328758,5.0
system,WSJ,764,True,,Wall Street Journal (business news),0.3783676778389561,0.0011723176099045307,0.41944929804375175,0.0006819109724471639,0.6270681349122178,0.0016305192866915793,0.48677805475360997,0.0018146031788806253,0.041081620204795666,0.0006126598263289215,-0.14029008015860783,0.0027975620934280504,5.0
system,arxiv,4468,True,,arXiv (academic),0.36875066070219437,0.001083323801103254,0.40620451162732846,0.0015768142962518984,0.6016822908050429,0.005046713372364204,0.467061856010505,0.004273908939907076,0.03745385092513408,0.0011971634315983714,-0.13462043479453795,0.007867865111535671,5.0
training,NYT,457,True,,New York Times (public news),0.3909012994510404,0.0,0.42965173182458016,0.0,0.5278081429768408,0.0,0.4588189294907178,0.0,0.03875043237353981,0.0,-0.06898921348612297,0.0,5.0
training,WSJ,449,True,,Wall Street Journal (business news),0.3825179507680462,0.0,0.4293801128517528,0.0,0.5404666756871072,0.0,0.46015571970574803,0.0,0.04686216208370664,0.0,-0.08031095598135912,0.0,5.0
training,arxiv,5810,True,,arXiv (academic),0.3737369913507239,0.00579643747988795,0.40960101979698094,0.005869345500085731,0.5301056350031615,0.002699085614409545,0.4520040418405351,0.005391832357091877,0.035864028446257044,0.0029289707056201304,-0.07810159316262634,0.0031541950112176486,5.0
understanding,NYT,233,True,,New York Times (public news),0.38739994570426023,0.0,0.4156242777961337,0.0,0.511849955672264,0.0,0.5020587834696361,0.0,0.028224332091873416,0.0,-0.009791172202627929,0.0,5.0
understanding,WSJ,136,True,,Wall Street Journal (business news),0.3956568313052061,0.0,0.4157345663719047,0.0,0.4858858096883093,0.0,0.5041642074826852,0.0,0.020077735066698632,0.0,0.0182783977943759,0.0,5.0
understanding,arxiv,958,True,,arXiv (academic),0.3829214843326648,0.0016308237988672436,0.4237961514343061,0.003992146492662709,0.5369845423689288,0.0035624952184078527,0.4858640531910578,0.0025297964120730835,0.040874667101641296,0.003199734172732058,-0.05112048917787095,0.0041552852618770625,5.0
