arena,arena_label,temporality_mean,temporality_sd,ontology_mean,ontology_sd,seeds,common_targets
NYT,New York Times (public news),0.0357643746064026,8.39428734701996e-05,-0.05090956272501568,0.0007912018831881007,5,13
WSJ,Wall Street Journal (business news),0.038943609292696045,0.00011650815105727716,-0.05105698843862132,0.000979127351498017,5,13
arxiv,arXiv (academic),0.034520722599507406,0.0007327165430578089,-0.07682080010093502,0.001633101621723798,5,13
