comparison,mean_jsd,sd_jsd,comparisons,mean_valid_controls,minimum_valid_controls
NYT–arxiv,0.5411712113195671,0.1707347722098703,80,4.75,0
WSJ–arxiv,0.5197919491020236,0.1594369997392759,65,3.3846153846153846,0
NYT–WSJ,0.30227643479572247,0.1211339116800471,65,22.76923076923077,4
