arena,arena_label,scope,n_targets,temporality_mean,temporality_between_target_sd,ontology_mean,ontology_between_target_sd
NYT,New York Times (public news),all_available_targets,16,0.03191437564091376,0.018360724785527062,-0.03436656696715515,0.062483125368087075
NYT,New York Times (public news),common_targets_only,13,0.0357643746064026,0.01666328685183626,-0.05090956272501568,0.05669890693073248
WSJ,Wall Street Journal (business news),all_available_targets,13,0.03894360929269604,0.01695341504172427,-0.05105698843862132,0.06110101493060661
WSJ,Wall Street Journal (business news),common_targets_only,13,0.03894360929269604,0.01695341504172427,-0.05105698843862132,0.06110101493060661
arxiv,arXiv (academic),all_available_targets,23,0.03424430674441505,0.010983684486285615,-0.05994286179393978,0.041854398238203014
arxiv,arXiv (academic),common_targets_only,13,0.034520722599507406,0.00930450816206069,-0.076820800100935,0.0456781794281785
